Intersecti,Intersec_1,the_geom,NodeNumber,TurnRestri,P_X,P_Y,Street1,Street2,EditDate,created_us,created_da,last_edite,last_edi_1,GlobalID
Brattle St & Mercer Cir,2,POINT (-71.12928630134496 42.377671961518004),809,,756332.46,2962870.94,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{41AF8173-A71A-4AD2-8183-34A400693E71}
Lawn St & St Sauveur Ct,2,POINT (-71.15400660237397 42.37774805975415),810,,749653.03,2962870.61,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{C9EFC3A6-3B17-458D-AEB1-3EE5555099B9}
Fresh Pond Pkwy & Larchwood Dr,2,POINT (-71.14287762967872 42.37770694327833),812,,752660.09,2962868.02,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{3DF7A6C8-C7B4-4797-A02A-DCB7A01CCD4E}
Concord Ave & Waterhouse St,2,POINT (-71.12209731156506 42.37751224537844),816,,758275.15,2962821.26,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{55B7B1F0-4814-4014-8C7E-A83C563C0FFA}
Brattle St & Hubbard Park Rd,2,POINT (-71.13247887479987 42.37753251619528),817,,755470.06,2962816.39,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{7CF26862-9294-4FF6-87FB-EE44B4CA22F6}
Fresh Pond Pkwy & Larch Rd,2,POINT (-71.14219827414608 42.37756225063837),818,,752843.87,2962816.06,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{823A651F-265D-4BDC-8578-E74A3DE55F04}
Brattle St & Riedesel Ave,2,POINT (-71.1315596329548 42.37752334678443),819,,755718.45,2962814.12,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{A6738DE2-1A66-4865-B01F-C8D3696B6679}
Fresh Pond Pkwy & Larch Rd,2,POINT (-71.14209632451879 42.37752719362166),821,,752871.47,2962803.4,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{D7B9CF89-952B-4A20-9AFD-7EE0ED640555}
Holmes St & Park Ave,2,POINT (-71.14907340635443 42.37754602669643),822,,750986.26,2962802.43,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{B18BBA81-78A9-438B-9A8F-76C7175B345B}
Holmes St & Holworthy St,2,POINT (-71.1506251378307 42.3774910388392),825,,750567.07,2962780.67,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{10F86FD3-7F85-471A-9D19-D242E3F38138}
